iter	Passed	Remaining
0	1	130
1	3	149
2	6	200
3	7	175
4	8	164
5	9	155
6	10	144
7	11	137
8	13	133
9	14	130
10	15	127
11	17	125
12	18	124
13	19	120
14	20	118
15	22	116
16	23	114
17	25	118
18	27	115
19	28	112
20	29	110
21	30	107
22	31	104
23	32	103
24	33	100
25	34	99
26	35	97
27	37	96
28	38	94
29	39	92
30	40	91
31	42	89
32	43	88
33	44	86
34	45	85
35	47	83
36	49	84
37	50	82
38	51	81
39	52	79
40	54	78
41	55	76
42	56	74
43	57	72
44	58	71
45	59	69
46	60	67
47	61	66
48	62	65
49	63	63
50	65	62
51	66	61
52	67	59
53	68	58
54	69	57
55	70	55
56	71	54
57	72	52
58	73	51
59	74	49
60	75	48
61	77	47
62	78	46
63	80	45
64	81	44
65	83	43
66	85	41
67	86	40
68	87	39
69	89	38
70	90	37
71	92	35
72	93	34
73	94	33
74	95	31
75	96	30
76	97	29
77	98	27
78	98	26
79	99	24
80	100	23
81	101	22
82	102	21
83	104	19
84	106	18
85	108	17
86	109	16
87	112	15
88	114	14
89	115	12
90	116	11
91	119	10
92	120	9
93	121	7
94	122	6
95	123	5
96	125	3
97	126	2
98	127	1
99	128	0
