iter	Passed	Remaining
0	139	138925
1	140	70114
2	141	47167
3	142	35550
4	143	28546
5	144	23878
6	144	20544
7	145	18041
8	146	16093
9	146	14533
10	147	13259
11	148	12199
12	148	11302
13	149	10532
14	150	9893
15	151	9323
16	152	8818
17	153	8359
18	154	7951
19	154	7578
20	155	7242
21	156	6938
22	156	6658
23	157	6401
24	158	6164
25	158	5944
26	159	5741
27	159	5552
28	160	5377
29	162	5239
30	162	5089
31	163	4954
32	165	4836
33	165	4714
34	166	4596
35	167	4486
36	168	4382
37	169	4285
38	169	4187
39	170	4094
40	171	4005
41	171	3921
42	172	3843
43	173	3770
44	174	3704
45	175	3643
46	177	3592
47	178	3539
48	179	3489
49	180	3435
50	181	3383
51	182	3328
52	183	3274
53	183	3222
54	184	3171
55	185	3128
56	186	3081
57	186	3037
58	187	2993
59	188	2953
60	189	2922
61	190	2887
62	191	2851
63	192	2817
64	193	2785
65	194	2752
66	195	2720
67	196	2688
68	196	2657
69	197	2627
70	198	2601
71	199	2573
72	200	2545
73	201	2518
74	202	2492
75	202	2467
76	204	2446
77	205	2424
78	205	2401
79	206	2377
80	207	2356
81	208	2336
82	209	2310
83	209	2289
84	210	2268
85	211	2249
86	212	2230
87	213	2213
88	214	2194
89	215	2176
90	216	2158
91	216	2140
92	217	2125
93	219	2112
94	220	2097
95	221	2081
96	222	2066
97	222	2051
98	223	2037
99	224	2021
100	225	2006
101	226	1993
102	227	1979
103	228	1964
104	228	1950
105	229	1936
106	230	1924
107	231	1911
108	232	1900
109	233	1890
110	234	1877
111	235	1865
112	236	1853
113	237	1842
114	237	1830
115	238	1819
116	239	1809
117	240	1800
118	241	1789
119	242	1779
120	243	1769
121	244	1760
122	245	1752
123	246	1743
124	248	1736
125	249	1729
126	250	1719
127	251	1712
128	252	1704
129	253	1696
130	254	1688
131	255	1680
132	256	1672
133	257	1665
134	258	1657
135	259	1650
136	260	1642
137	262	1637
138	263	1630
139	264	1622
140	265	1616
141	266	1608
142	267	1605
143	269	1600
144	270	1595
145	271	1589
146	272	1583
147	274	1577
148	275	1571
149	276	1568
150	277	1561
151	278	1555
152	280	1550
153	281	1546
154	282	1541
155	283	1536
156	285	1531
157	286	1526
158	287	1520
159	288	1515
160	289	1508
161	290	1504
162	292	1500
163	293	1498
164	295	1495
165	297	1492
166	298	1488
167	299	1485
168	301	1482
169	302	1477
170	303	1473
171	305	1470
172	306	1467
173	309	1468
174	310	1465
175	312	1461
176	313	1456
177	314	1453
178	316	1449
179	317	1445
180	318	1441
181	320	1438
182	321	1435
183	322	1431
184	324	1428
185	325	1424
186	326	1421
187	328	1417
188	329	1413
189	330	1409
190	331	1405
191	333	1402
192	334	1399
193	336	1397
194	337	1394
195	339	1392
196	340	1388
197	341	1384
198	343	1381
199	344	1377
200	345	1373
201	346	1370
202	348	1366
203	350	1366
204	351	1363
205	352	1360
206	354	1357
207	355	1354
208	356	1350
209	358	1347
210	359	1343
211	360	1340
212	362	1338
213	364	1338
214	366	1337
215	368	1336
216	369	1333
217	371	1330
218	372	1327
219	373	1325
220	375	1322
221	376	1319
222	378	1317
223	380	1317
224	381	1315
225	383	1313
226	385	1311
227	386	1309
228	388	1307
229	389	1305
230	391	1303
231	393	1303
232	395	1301
233	396	1299
234	398	1297
235	399	1294
236	401	1291
237	402	1288
238	403	1285
239	405	1283
240	406	1280
241	407	1277
242	409	1275
243	410	1273
244	412	1270
245	413	1268
246	415	1265
247	416	1263
248	417	1260
249	419	1258
250	420	1255
251	422	1254
252	424	1253
253	426	1251
254	427	1248
255	428	1245
256	429	1243
257	431	1240
258	432	1237
259	433	1235
260	435	1232
261	436	1230
262	438	1228
263	439	1226
264	441	1223
265	442	1221
266	443	1218
267	445	1216
268	446	1213
269	447	1210
270	449	1208
271	450	1205
272	451	1203
273	453	1200
274	454	1198
275	455	1196
276	457	1193
277	458	1191
278	460	1190
279	462	1188
280	463	1186
281	465	1185
282	467	1183
283	468	1180
284	469	1178
285	471	1176
286	472	1174
287	474	1172
288	475	1169
289	476	1167
290	477	1164
291	479	1162
292	481	1161
293	482	1158
294	483	1156
295	485	1154
296	486	1151
297	487	1148
298	488	1145
299	489	1142
300	490	1139
301	491	1136
302	492	1132
303	493	1130
304	495	1128
305	496	1126
306	497	1123
307	498	1120
308	499	1117
309	500	1114
310	501	1111
311	502	1108
312	503	1105
313	504	1102
314	505	1098
315	506	1095
316	506	1092
317	507	1089
318	509	1086
319	510	1084
320	511	1081
321	512	1078
322	513	1075
323	514	1072
324	515	1070
325	516	1066
326	517	1064
327	518	1061
328	519	1058
329	519	1055
330	520	1052
331	521	1049
332	522	1047
333	523	1044
334	525	1042
335	526	1040
336	527	1037
337	528	1035
338	529	1032
339	530	1030
340	531	1027
341	532	1024
342	533	1021
343	534	1018
344	535	1015
345	535	1013
346	536	1010
347	537	1007
348	538	1004
349	539	1002
350	540	999
351	541	997
352	542	994
353	543	992
354	545	990
355	546	988
356	547	985
357	548	982
358	549	980
359	550	978
360	551	975
361	552	973
362	553	972
363	555	970
364	556	967
365	557	965
366	557	962
367	558	959
368	559	956
369	560	954
370	561	951
371	562	949
372	563	946
373	563	943
374	564	941
375	565	938
376	566	935
377	567	933
378	568	932
379	569	929
380	570	927
381	572	925
382	573	923
383	574	921
384	575	919
385	577	917
386	578	915
387	579	913
388	580	911
389	582	910
390	583	908
391	584	906
392	585	904
393	586	902
394	587	900
395	588	898
396	589	895
397	591	894
398	592	891
399	593	889
400	594	887
401	595	885
402	596	884
403	598	882
404	599	880
405	600	878
406	601	876
407	602	874
408	603	872
409	604	870
410	605	868
411	606	865
412	607	863
413	609	862
414	610	860
415	612	859
416	613	857
417	614	855
418	615	853
419	616	851
420	617	849
421	619	848
422	620	845
423	620	843
424	621	841
425	622	839
426	623	836
427	624	834
428	625	832
429	627	831
430	629	830
431	630	828
432	631	826
433	632	824
434	633	822
435	634	820
436	635	818
437	636	816
438	637	814
439	638	812
